,Clusters,Latitude,Longitude,SUM
0,1,52.179219696969696,21.185115151515152,66
1,2,52.16798928571428,21.211948214285716,112
2,3,52.21056896551724,21.19396206896552,29
3,4,52.20822253521126,21.169380281690138,71
4,5,52.191335135135134,21.141662162162163,37
5,6,52.22529805825244,21.149584466019423,103
6,7,52.261594594594605,21.16301486486487,74
7,8,52.24318804347827,21.129903260869565,92
8,9,52.25340999999999,20.90496333333333,30
9,10,52.20462105263156,20.923807017543865,57
10,11,52.22666615384616,20.90815076923077,65
11,12,52.2079840909091,20.898540909090908,44
12,13,52.174933898305085,20.93643389830509,59
13,14,52.19888333333335,20.964981060606075,132
14,15,52.33319019607842,20.95584117647059,51
15,16,52.316902941176465,20.983297058823524,34
16,17,52.346030158730166,20.98740634920634,63
17,18,52.30524285714285,20.91538857142857,35
18,19,52.27611555555555,20.95921888888889,90
19,20,52.282251948051936,20.9372025974026,77
20,21,52.268143661971855,20.98263028169014,142
21,22,52.23582727272727,20.965186363636366,110
22,23,52.23792133333333,20.942089333333332,75
23,24,52.24409099999998,21.105135000000004,100
24,25,52.24225000000001,21.083846268656714,134
25,26,52.259634437086106,21.038249668874172,151
26,27,52.23738431372547,21.061370588235302,102
27,28,52.33065,21.033441666666665,12
28,29,52.29139666666664,21.02681222222223,90
29,30,52.285762295081966,21.06870901639344,122
30,31,52.266683999999984,21.064406666666663,75
31,32,52.24328896551724,20.98814827586206,145
32,33,52.21765384615384,20.98248076923077,78
33,34,52.22577749999998,21.003665000000016,160
34,35,52.224714444444466,21.026374999999994,180
35,36,52.23588090909091,21.01683363636362,110
36,37,52.24907155172413,21.008729310344826,116
37,38,52.166878260869574,21.085156521739126,23
38,39,52.147041176470594,21.113511764705883,17
39,40,52.204632258064514,21.086922580645155,31
40,41,52.14112666666667,21.054859999999998,15
41,42,52.18190357142856,21.060291071428573,56
42,43,52.13126538461539,21.015175641025643,78
43,44,52.184227777777764,21.002250000000004,54
44,45,52.201514285714296,21.014510924369755,119
45,46,52.20466935483872,21.03955322580645,62
46,47,52.17742037037038,21.027625925925925,54
